№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес (ручной),Адрес (авто),Город (авто),Район,Округ,Улица,Номер дома,Ближайшее метро,Линия ближайшего метро,Расстояние до ближайшего метро (м),Широта ближайшего метро,Долгота ближайшего метро,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Широта объекта,Долгота объекта
11916,АПАРТ-ОТЕЛЬ НА СВЕЧНОМ,2,4,10,"Санкт-Петербург, Свечной пер.15/Марата 48,
помещение 23,  до центра города 1 км, до аэропорта 15 км, до Московского ж/д вокзала 0,7 км, до Ладожского ж/д вокзала 5 км","Санкт-Петербург, Центральный район, улица Марата, 15",Санкт-Петербург,Центральный район,муниципальный округ Владимирский,,,Маяковская,Невско-Василеостровская линия,271.0,59.931427,30.355178,+7(812)7120392;,,,info@ic-hotel.ru,"• завтрак
 • Wi-Fi
 • телевидение","•сейф в номере ( доп. плата)
• фитнес-центр
•вызов такси 
•камеры хранения
•заказ экскурсий",59.929127,30.353534
11917,"СПб ГБ ПОУ ""Российский Колледж Традиционной Культуры"", Учебная гостиница ""Лицейская""",2,135,430,"г.Санкт-Петербург,  пр.Дальневосточный, 51                                                            ","Санкт-Петербург, Дальневосточный проспект, 51",Санкт-Петербург,Невский,,Дальневосточный проспект,51,Ломоносовская,Невско-Василеостровская линия,3049.0,59.877253,30.441812,+7(812)4467475;,,http://rktk.org/rktk_new/,hotel51@mail.ru," • телевидение
 • холодильник",нет,59.888284,30.463021
11918,АГНИ,3,32,50,"191025, Санкт-Петербург, Невский пр., 94/2","Санкт-Петербург, Невский проспект, 94",Санкт-Петербург,Центральный,,Невский проспект,94,Маяковская,Невско-Василеостровская линия,176.0,59.931427,30.355178,+7(812)4570225;,,http://www.agnihotel.ru/,book@hotelagni.ru,Кондиционер                           Сейф                                                Телевизор                                               Телефон                                         Доступ в Интернет                            Фен                                      Туалетные принадлежности,Визовая поддержка Экскурсионное бюро                    Продажа билетов                      Трансфер,59.932315,30.353481
11919,ДОМИК У ПРИЧАЛА,3,34,65,"188512, Санкт-Петербург, Ломоносов, наб. Сидоровского канала, 3-а;","Санкт-Петербург, Ломоносов, набережная Сидоровского канала, 3а",Санкт-Петербург,Петродворцовый,,набережная Сидоровского канала,3а,,,1.0,,,+7(812)4220707;,+7(812)4226441;,http://www.pierhouse.ru/,info@pierhouse.ru;,"• Wi Fi
• вызов такси
• хранение вещей после расчетного часа до отъезда
• пользование телефоном (по городу) и факсом
• утюг, аптечка
• сейф (на стойке у администратора)
• парковка","За дополнительную плату :

• заказ экскурсионной программы по Санкт-Петербургу и пригородам 
• регистрация иностранных граждан
• услуги прачечной
• прокат инвентаря для отдыха (столы и стулья для пикника, мангал, удочки)",59.920853,29.777759
11920,"РЕПИНО,Кронвел Парк Отель",3,118,178,"197738, Санкт-Петербург, пос. Репино, Приморское шоссе, 394, корп. 2

Расстояние до центра города 45 км, до аэропорта Пулково 62 км (по КАД 85 км)","Санкт-Петербург, поселок Репино, Приморское шоссе, 394",Санкт-Петербург,Курортный,,Приморское шоссе,394,,,1.0,,,"+7(812)7022828;
+7(812)7022850
;",,http://www.hotel-repino.ru/,reservation@hotel-repino.ru; platonova@hotel-repino.ru ,"• завтрак ""швед.стол"",     • обед ""швед. стол""
  • посещение бассейна 1 час с 8.30 до 10.00   • Wi-Fi","• ресторан, бары, летняя терраса
• водно-оздоровительный комплекс с бассейном и саунами
• 5 конференц-залов (от 31 до 180 кв.м.)                                                            
• бесплатный Wi-Fi
• автостоянка
• детская комната и детская площадка
• спортивная площадка",60.158001,29.884883
11921,БАЛТИЯ ,3,93,123,"194044, Санкт-Петербург, ул. Смолячкова, 5, корп. 1  ","Санкт-Петербург, улица Смолячкова, 5К1",Санкт-Петербург,Выборгский,,улица Смолячкова,5К1,Выборгская,Кировско-Выборгская линия,557.0,59.971024,30.347345,+7(812)2920440;,+7(812)2920442;,http://www.baltiyahotel.ru/,info@baltiyahotel.ru," • завтрак
 • Wi-Fi
 • спутниковое телевидение
 • система кондиционирования","•бар/ресторан
•1 конференц-зал на 60 человек
• 1 переговорная комната на 10 человек
•служба консьержей
•прачечная и химчистка
•гладильные комнаты
•бесплатный Wi-Fi
•бесплатная аренда ноутбука на 2 часа
•банкомат
• заказ такси и автобусов
•камера хранения
•сейфовые ячейки
•сувенирный магазин
•круглосуточная охрана",59.970186,30.33926
11922,КРОНВЕЛ ИНН СТРЕМЯННАЯ,3,49,87,г.Санкт-Петербург ул.Стремянная 18,"Санкт-Петербург, Стремянная улица, 18",Санкт-Петербург,Центральный,,Стремянная улица,18,Маяковская,Невско-Василеостровская линия,200.0,59.931427,30.355178,+7(812)4060450;,,http://www.stremyannaya-hotel.ru/,booking@stremyannaya-hotel.com,"Завтрак, чаепитие, Будильник
Детская кроватка для детей до 6 лет
Доставка корреспонденции и факсов в номер
Бесплатный WI - FI на всей территории отеля
Утюг / гладильная комната
Звонки по городу
Набор для шитья
Вызов такси
Банкомат
Вызов скорой помощи
Карта Санкт-Петербурга и информационные брошюры","•Дополнительная кровать
•Дополнительная уборка номера
•Дополнительная замена постельного белья и полотенец
•Прокат халата
•Зубной набор, бритвенный набор, расческа
•Прокат электрического чайника с подносом
•Прокат холодильника
•Утюг и гладильная доска в номер
•Прокат зонта
•Услуги бизнес-центра
•Отправка корреспонденции и факсов
•Международные телефонные переговоры
•Экскурсии в музеи и дворцы Санкт-Петербурга и пригородов
•Заказ билетов в театры и концертные залы
•Заказ авиа и железнодорожных билетов
•Встреча и проводы гостей отеля в аэропорт и железнодорожный вокзал
•Прокат аудио гида",59.930926,30.353139
11923,М-ОТЕЛЬ,3,61,62,"г. Санкт-Петербург, ул. Садовая, 22/2                                                              ","Санкт-Петербург, Садовая улица, 22/2",Санкт-Петербург,Центральный,,Садовая улица,22/2,Гостиный Двор,Невско-Василеостровская линия,211.0,59.933938,30.333745,+7(812)4488383;,,http://mhotelspb.ru/,sales@mhotelspb.ru,"завтрак
 Wi-Fi
 сейф
 спутниковое телевидение
  система климат-контроля","бар /рестораны
бизнесцентр
прачечная и химчистка
гладильная комната
бесплатный Wi-Fi
охраняемая автостоянка
предоставление автотранспорта с водителем
вызов такси и автобусов
камеры хранения круглосуточная охрана",59.932919,30.334239
11924,ИБИС САНКТ-ПЕТЕРБУРГ ЦЕНТР,3,221,318,"191040, г.Санкт-Петербург, Лиговский пр, дом 54                                                                    16 км до аэропорта Пулково, 500 м до ж/д Московский Вокзал","Санкт-Петербург, Лиговский проспект",Санкт-Петербург,Центральный,,Лиговский проспект,,Обводный Канал,Фрунзенско-Приморская линия,379.0,59.914583,30.349636,+7(812)6220100;,+7(812)6220101;,http://www.ibis.com/ru/,h6157@accor.com ," • Wi-Fi
 • спутниковое телевидение
 • система климат-контроля","•Круглосуточный бар
• Завтрак в Ресторане
•5 конференц-залов от 20 до 100 человек
•Консьерж-Услуги
•Сувенирный магазин
•Услуги Прачечной и химчистки 
•Гладильная комната
•Охраняемый подземный гараж
•Банкоматы
•Авиа и ж/д билеты
•Предоставление автотранспорта с водителем
•Вызов такси и автобусов
•Камера хранения
•Доставка цветов
•Круглосуточная охрана",59.911317,30.347911
11925,АДМИРАЛТЕЙСКАЯ,3,54,108,"190121, Санкт-Петербург, ул. Александра Блока, 8, ","Санкт-Петербург, улица Александра Блока, 8",Санкт-Петербург,Адмиралтейский,,улица Александра Блока,8,Василеостровская,Невско-Василеостровская линия,3117.0,59.942516,30.278274,+7(812)4954465; 8 800 7001670;,,http://hotel-admiralteyskaya.ru/,sales@amaranta.ru,интернет,"Сувенирный магазин
Продажа билетов
Трансфер
Прачечная
Ресторан",59.923897,30.278022
11926,АЗИМУТ ОТЕЛЬ САНКТ-ПЕТЕРБУРГ,3,1132,2164,"190103, Санкт-Петербург, Лермонтовский пр., 43/1  ","Санкт-Петербург, Лермонтовский проспект, 43/1",Санкт-Петербург,Адмиралтейский,,Лермонтовский проспект,43/1,Балтийская,Кировско-Выборгская линия,1221.0,59.907149,30.299564, +7(812)7402640;,,http://azimuthotels.com/,spb@azimuthotels.com,"завтрак, интрнет","парковка, Экскурсионное бюро, Услуги по продаже билетов, Банкомат на территории отеля, Прачечная, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных",59.914953,30.29518
11927,АЛИОТ,3,72,152,"198097, г.Санкт-Петербург, ул.Возрождения, 4","Санкт-Петербург, улица Возрождения, 4",Санкт-Петербург,Кировский,,улица Возрождения,4,Кировский Завод,Кировско-Выборгская линия,685.0,59.879638,30.26196,+7(812)3244949;,,http://www.aliot-spb.ru,bron@aliot-spb.ru,"• завтрак
 • Wi-Fi
 • телевизор
 • холодильник                                - наличие в каждом из номеров санузла с душевой кабиной","• сейф                                 •бары/рестораны
•2 конференц-зала на 100 и 18 человек
•бизнесцентр
•служба горничных, кастелянши
•прачечная и химчистка
•гладильная комната
•бесплатный Wi-Fi
•охраняемая автостоянка
•банкомат
•вызов такси и автобусов
•камера хранения
•доставка цветов
•кейтеринг
•круглосуточная охрана",59.882939,30.267907
11928,АНАБЕЛЬ,3,47,94,"191025, Санкт-Петербург, Невский пр., 88, оф. 79 ","Санкт-Петербург, Невский проспект, 88",Санкт-Петербург,Центральный,,Невский проспект,88,Маяковская,Невско-Василеостровская линия,277.0,59.931427,30.355178,+7(812)4002211;,,http://anabel.ru/,info@anabel.ru  ,"завтрак, чай, кофе, такси, карты","Доставка еды и напитков в номер, Прокат автомобилей, Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Химчистка, Услуги по глажению одежды, Чистка обуви, Факс/Ксерокопирование, Люкс для новобрачных",59.932518,30.35172
11929,АНДЕРСЕН ОТЕЛЬ,3,140,264,"197022, Санкт-Петербург, ул. Чапыгина, 4-а   ","Санкт-Петербург, улица Чапыгина, 4",Санкт-Петербург,Петроградский,,улица Чапыгина,4,Петроградская,Московско-Петроградская линия,1086.0,59.966498,30.31143,+7(812)7405140;,,http://www.andersenhotel.ru/,karataeva@andersenhotel.ru," • завтрак
 • Wi-Fi
 • сейф
 • парковка
 ","Доставка еды и напитков в номер, Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Камера хранения багажа, Банкомат на территории отеля, Прачечная, Услуги по глажению одежды, Чистка обуви, Конференц-зал/Банкетный зал, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных",59.973118,30.306804
11930,АННУШКА,3,86,157,"198035, Санкт-Петербург, Гапсальская ул., 2 ","Санкт-Петербург, Гапсальская улица, 2",Санкт-Петербург,Кировский,,Гапсальская улица,2,Нарвская,Кировско-Выборгская линия,2207.0,59.901111,30.275004,+7(812)7033090;,,http://www.annhotel.ru/,info@annhotel.ru ,"завтрак, парковка","конференц-зал на 80 посадочных мест
парикмахерская
круглосуточное интернет-кафе
русский бильярд
сауна",59.912409,30.259759
11931,АСТЕРИЯ,3,72,136,"191023, Санкт-Петербург, наб. реки Фонтанки, 71  ","Санкт-Петербург, набережная реки Фонтанки, 71",Санкт-Петербург,Центральный,,набережная реки Фонтанки,71,Сенная Площадь,Московско-Петроградская линия,808.0,59.926972,30.320458,+7(812)3356888;,,http://www.asteria.ru/,info@asteria.ru,"завтрак, интернет","Сейф, Номера для некурящих, Лифт, Отопление, Курение на всей территории объекта размещения запрещено, Кондиционер, Места для курения",59.926548,30.329199
11932,БАЛТИЕЦ,3,191,191,"197738, Санкт-Петербург, пос. Репино, Приморское шоссе, 427   ","Санкт-Петербург, поселок Репино, Приморское шоссе, 427",Санкт-Петербург,Курортный,,Приморское шоссе,427,,,1.0,,,8(800)3333370;,,http://turris-management.ru,as@turris-management.ru,"Wi-Fi зона
Консьерж
Банкомат
Камера хранения
Парковка","Трансфер
Экскурсионный сервис
центр анимации фитнес центр",60.165205,29.872037
11933,БАЛТИЙСКАЯ,3,54,96,"198035, Санкт-Петербург, Гапсальская ул., 12  ","Санкт-Петербург, Гапсальская улица, 12",Санкт-Петербург,Кировский,,Гапсальская улица,12,Нарвская,Кировско-Выборгская линия,2381.0,59.901111,30.275004,+7(812)4958106;,,http://port-hotel.ru,mail@port-hotel.ru,"завтрак, парковка, интернет","кафе, бар",59.911092,30.259553
11934,БЕЛЫЕ НОЧИ,3,140,350,"193315, Санкт-Петербург, пр. Большевиков, 54 к. 2, ","Санкт-Петербург, проспект Большевиков, 54к2",Санкт-Петербург,Невский,,проспект Большевиков,54к2,Пролетарская,Невско-Василеостровская линия,5036.0,59.865122,30.470315,+7(812)4462104;,,,,,,59.881792,30.490042
11935,БРИСТОЛЬ,3,119,231,"192007, Санкт-Петербург, Расстанная ул., 2, ","Санкт-Петербург, Расстанная улица, 2",Санкт-Петербург,Центральный,,Расстанная улица,2,Обводный Канал,Фрунзенско-Приморская линия,957.0,59.914583,30.349636,+7(812)2429900 ;,,http://bristol-hotel.spb.ru, info@bristol-hotel.spb.ru,"завтрак
Wi-Fi
сейф
телевидение
кондиционер
фен ","ресторан
конференц-зал до 50 человек
экскурсии
билеты в театры, на концерты
такси, трансфер
прачечная
доска и утюг в номер
банкомат",59.908841,30.341407
11936,ВЕРА,3,72,146,"191036, Санкт-Петербург, Суворовский пр., 25   ","Санкт-Петербург, Суворовский проспект, 25",Санкт-Петербург,Центральный,,Суворовский проспект,25,Площадь Восстания,Кировско-Выборгская линия,,59.931517,30.360559,+7(812)7026190;,,http://hotelvera.ru,desk@hotelvera.ru,"завтрак, интернет, сейф","Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Услуги по продаже билетов, Камера хранения багажа, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Прачечная, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Люкс для новобрачных",59.937121,30.373782
11937,ВЫБОРГСКАЯ,3,237,422,"197342, Санкт-Петербург, Торжковская ул., 3 ","Санкт-Петербург, Торжковская улица, 3",Санкт-Петербург,Выборгский,,Торжковская улица,3,Чёрная Речка,Московско-Петроградская линия,464.0,59.98548,30.300875,+7(812)3293901;,,http://turris-management.ru,mp2@turris-management.ru,"Услуги по оформлению регистрационных бланков
Wi-Fi в зоне лобби на первом этаже
Вызов такси
Побудка
Рум-сервис
Банкомат","Автостоянка - 300 рублей/сутки
Получение/отправление факса - 20 рублей/страница (плюс международный тариф за отправление)
Аренда компьютера с доступом в интернет - 15/30/60 мин. 50/100/200 рублей соответственно
Стирка белья - по прейскуранту
Ксерокс - в зависимости от количества листов, 4-8 рублей/лист
Салон красоты
Аренда офисов
Оформление регистрационных бланков - 150 рублей
Сейфовые ячейки - 50 рублей/сутки
Хранение багажа - 50 рублей 1 место/сутки",59.987064,30.306292
11938,ГЕЛИОС ОТЕЛЬ,3,195,264,"197720, Санкт-Петербург, Зеленогорск, Приморское шоссе, 593  ","Санкт-Петербург, Зеленогорск, Приморское шоссе, 593",Санкт-Петербург,Курортный,,Приморское шоссе,593,,,1.0,,,+7(812)7022626;,,http://gelios-otel.ru,office@gelios-otel.ru,"санузел, телевизор, мебель, мини-холодильник, телефон, беспроводной Интернет","ресторан, спа, баня, ночной клуб",60.194826,29.661059
11939,ГОСТИНИЦА 365 САНКТ-ПЕТЕРБУРГ,3,153,364,"г. Санкт-Петербург,          ул. Боровая, д. 104,","Санкт-Петербург, Боровая улица, 104",Санкт-Петербург,Центральный,,Боровая улица,104,Обводный Канал,Фрунзенско-Приморская линия,,59.914583,30.349636,+7(812)7661046;,,http://hostel365spb.ru,booking-hostel365spb@mail.ru,"холодильник и санузел, душевая на этаже","Кафе,бесплатный Wi-Fi,
вызов такси и автобусов,
камеры хранения, зона отдыха, прачечная, утюги.",59.90958,30.339943
11940,ГОСТИНИЧНЫЙ КОМПЛЕКС НАУКА,3,156,362,"Корпус №1-            г. Санкт- Петербург, ул. Миллионная д.27   (Центр города, аэропорт Пулково- 20 км)                     Корпус №2 -          пр. Энгельса д.65 (До центра 20 минут метро, Пулково- 40 км)",,,"Адмиралтейский (Корпус 1), Выборгский (Корпус 2)",,,,,,1.0,,,+7(812)3153368; +7(812)2938455;,,http://hotel-nauka.ru,hotel-nauka@mail.ru,"• Wi-Fi
 
•вызов такси","•гладильная комната
•бесплатный Wi-Fi
•круглосуточная охрана",,
11941,ГРАНД КАНЬОН,3,133,229,"190000, Санкт-Петербург, ул. Шостаковича,2","Санкт-Петербург, улица Шостаковича, 2",Санкт-Петербург,Выборгский,,улица Шостаковича,2,Парнас,Московско-Петроградская линия,,60.066994,30.333951,+7(812)7035292;,,http://grandcanyon-hotel.ru/,info@grandcanyon-hotel.ru," 
 • Wi-Fi
 • сейф
 •  телевидение
 • кондиционер","•ресторан
• фитнес-центр
•служба консьержей
•прачечная 
•гладильная комната
•бесплатный Wi-Fi
•охраняемая автостоянка наземная и подземная
•банкомат
•авиа и ж/д кассы
•вызов такси и автобусов
•камера хранения
•круглосуточная охрана",60.059616,30.326405
11942,ДИНАСТИЯ,3,65,132,"191002, Санкт-Петербург, ул. Рубинштейна, 29/28  ","Санкт-Петербург, улица Рубинштейна, 29/28",Санкт-Петербург,Центральный,,улица Рубинштейна,29/28,Достоевская,Правобережная линия,,59.928185,30.346204, +7(812)5722929; +7(812)3158262;,,http://eurasia-hotel.ru,dn@eurasia-hotel.ru,"Комната хранения багажа
Регистрация гостя
Карта города
Заказ авиа, Ж/Д билетов
Заказ билетов в театры, на концерты
Интернет Wi-Fi
Сейф
Вызов такси
Детская кроватка для малышей до 3 лет
Гостевые зонты
Домашняя библиотека","Визовая поддержка
Прачечная
Room service
Трансфер
Организация экскурсий, услуги гида-переводчика
Аудиогид
Комната для переговоров
Кафе-бар «Династия»",59.926742,30.342252
11943,ДОСТОЕВСКИЙ,3,218,403,"191002,г.Санкт-Петербург, Владимирский пр.,19","Санкт-Петербург, Владимирский проспект, 19",Санкт-Петербург,Центральный,,Владимирский проспект,19,Достоевская,Правобережная линия,,59.928185,30.346204,+7(812)2780505;,,http://hotel.alice.ru,reservation@hotel.alice.ru,"• завтрак
 • Wi-Fi
 • сейф
 • спутниковое телевидение
 • система климат-контроля - в номерах категории Comfort, центральная система кондиционирования во всех остальных номерах                                                                                       -  регистрация иностранных граждан","•бар/ресторан
• фитнес-центр
•2 конференц-зал на 90 чел или 4 зала на 25 человек
•бизнесцентр
• сауна
•служба консьержей
•прачечная и химчистка
•бесплатный Wi-Fi
•охраняемая автостоянка
•банкомат
•вызов такси
•камера хранения
•круглосуточная охрана",59.92855,30.34686
